2023-12-03 01:38:25 status unpacked libc6:amd64 2.36-9+deb12u2
2023-12-03 01:38:25 status half-installed libc6:amd64 2.36-9+deb12u2
2023-12-03 01:38:26 status unpacked libc6:amd64 2.36-9+deb12u2
2023-12-03 01:38:26 install libgmp10:amd64 <none> 2:6.2.1+dfsg1-1.1
2023-12-03 01:38:26 status half-installed libgmp10:amd64 2:6.2.1+dfsg1-1.1
2023-12-03 01:38:26 status unpacked libgmp10:amd64 2:6.2.1+dfsg1-1.1
2023-12-03 01:38:26 install gpgv:amd64 <none> 2.2.40-1.1
2023-12-03 01:38:26 status half-installed gpgv:amd64 2.2.40-1.1
2023-12-03 01:38:26 status unpacked gpgv:amd64 2.2.40-1.1
2023-12-03 01:38:26 install libgnutls30:amd64 <none> 3.7.9-2
2023-12-03 01:38:26 status half-installed libgnutls30:amd64 3.7.9-2
2023-12-03 01:38:26 status unpacked libgnutls30:amd64 3.7.9-2
2023-12-03 01:38:26 install grep:amd64 <none> 3.8-5
2023-12-03 01:38:26 status half-installed grep:amd64 3.8-5
2023-12-03 01:38:26 status unpacked grep:amd64 3.8-5
2023-12-03 01:38:26 install gzip:amd64 <none> 1.12-1
2023-12-03 01:38:26 status half-installed gzip:amd64 1.12-1
2023-12-03 01:38:26 status unpacked gzip:amd64 1.12-1
2023-12-03 01:38:27 install hostname:amd64 <none> 3.23+nmu1
2023-12-03 01:38:27 status half-installed hostname:amd64 3.23+nmu1
2023-12-03 01:38:27 status unpacked hostname:amd64 3.23+nmu1
2023-12-03 01:38:27 install init-system-helpers:all <none> 1.65.2
2023-12-03 01:38:27 status half-installed init-system-helpers:all 1.65.2
2023-12-03 01:38:27 status unpacked init-system-helpers:all 1.65.2
2023-12-03 01:38:27 install libcap-ng0:amd64 <none> 0.8.3-1+b3
2023-12-03 01:38:27 status half-installed libcap-ng0:amd64 0.8.3-1+b3
2023-12-03 01:38:27 status unpacked libcap-ng0:amd64 0.8.3-1+b3
2023-12-03 01:38:27 install libcap2:amd64 <none> 1:2.66-4
2023-12-03 01:38:27 status half-installed libcap2:amd64 1:2.66-4
2023-12-03 01:38:27 status unpacked libcap2:amd64 1:2.66-4
2023-12-03 01:38:27 install libffi8:amd64 <none> 3.4.4-1
2023-12-03 01:38:27 status half-installed libffi8:amd64 3.4.4-1
2023-12-03 01:38:27 status unpacked libffi8:amd64 3.4.4-1
2023-12-03 01:38:27 install libfile-find-rule-perl:all <none> 0.34-3
2023-12-03 01:38:27 status half-installed libfile-find-rule-perl:all 0.34-3
2023-12-03 01:38:27 status unpacked libfile-find-rule-perl:all 0.34-3
2023-12-03 01:38:27 install libgcrypt20:amd64 <none> 1.10.1-3
2023-12-03 01:38:27 status half-installed libgcrypt20:amd64 1.10.1-3
2023-12-03 01:38:27 status unpacked libgcrypt20:amd64 1.10.1-3
2023-12-03 01:38:27 install libgpg-error0:amd64 <none> 1.46-1
2023-12-03 01:38:27 status half-installed libgpg-error0:amd64 1.46-1
2023-12-03 01:38:27 status unpacked libgpg-error0:amd64 1.46-1
2023-12-03 01:38:27 install libidn2-0:amd64 <none> 2.3.3-1+b1
2023-12-03 01:38:27 status half-installed libidn2-0:amd64 2.3.3-1+b1
2023-12-03 01:38:27 status unpacked libidn2-0:amd64 2.3.3-1+b1
2023-12-03 01:38:27 install libmd0:amd64 <none> 1.0.4-2
2023-12-03 01:38:27 status half-installed libmd0:amd64 1.0.4-2
2023-12-03 01:38:27 status unpacked libmd0:amd64 1.0.4-2
2023-12-03 01:38:27 install libnumber-compare-perl:all <none> 0.03-3
2023-12-03 01:38:27 status half-installed libnumber-compare-perl:all 0.03-3
2023-12-03 01:38:27 status unpacked libnumber-compare-perl:all 0.03-3
2023-12-03 01:38:28 install libseccomp2:amd64 <none> 2.5.4-1+b3
2023-12-03 01:38:28 status half-installed libseccomp2:amd64 2.5.4-1+b3
2023-12-03 01:38:28 status unpacked libseccomp2:amd64 2.5.4-1+b3
2023-12-03 01:38:28 install libselinux1:amd64 <none> 3.4-1+b6
2023-12-03 01:38:28 status half-installed libselinux1:amd64 3.4-1+b6
2023-12-03 01:38:28 status unpacked libselinux1:amd64 3.4-1+b6
2023-12-03 01:38:28 install libsemanage-common:all <none> 3.4-1
2023-12-03 01:38:28 status half-installed libsemanage-common:all 3.4-1
2023-12-03 01:38:28 status unpacked libsemanage-common:all 3.4-1
2023-12-03 01:38:28 install libsemanage2:amd64 <none> 3.4-1+b5
2023-12-03 01:38:28 status half-installed libsemanage2:amd64 3.4-1+b5
2023-12-03 01:38:28 status unpacked libsemanage2:amd64 3.4-1+b5
2023-12-03 01:38:28 install libsepol2:amd64 <none> 3.4-2.1
2023-12-03 01:38:28 status half-installed libsepol2:amd64 3.4-2.1
2023-12-03 01:38:28 status unpacked libsepol2:amd64 3.4-2.1
2023-12-03 01:38:28 install libtasn1-6:amd64 <none> 4.19.0-2
2023-12-03 01:38:28 status half-installed libtasn1-6:amd64 4.19.0-2
2023-12-03 01:38:28 status unpacked libtasn1-6:amd64 4.19.0-2
2023-12-03 01:38:28 install libtext-glob-perl:all <none> 0.11-3
2023-12-03 01:38:28 status half-installed libtext-glob-perl:all 0.11-3
2023-12-03 01:38:28 status unpacked libtext-glob-perl:all 0.11-3
2023-12-03 01:38:28 install libunistring2:amd64 <none> 1.0-2
2023-12-03 01:38:28 status half-installed libunistring2:amd64 1.0-2
2023-12-03 01:38:28 status unpacked libunistring2:amd64 1.0-2
2023-12-03 01:38:28 install libcrypt1:amd64 <none> 1:4.4.33-2
2023-12-03 01:38:28 status half-installed libcrypt1:amd64 1:4.4.33-2
2023-12-03 01:38:28 status unpacked libcrypt1:amd64 1:4.4.33-2
2023-12-03 01:38:28 install libzstd1:amd64 <none> 1.5.4+dfsg2-5
2023-12-03 01:38:28 status half-installed libzstd1:amd64 1.5.4+dfsg2-5
2023-12-03 01:38:28 status unpacked libzstd1:amd64 1.5.4+dfsg2-5
2023-12-03 01:38:29 install liblz4-1:amd64 <none> 1.9.4-1
2023-12-03 01:38:29 status half-installed liblz4-1:amd64 1.9.4-1
2023-12-03 01:38:29 status unpacked liblz4-1:amd64 1.9.4-1
2023-12-03 01:38:29 upgrade mawk:amd64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2023-12-03 01:38:29 status half-configured mawk:amd64 1.3.4.20200120-3.1
2023-12-03 01:38:29 status unpacked mawk:amd64 1.3.4.20200120-3.1
2023-12-03 01:38:29 status half-installed mawk:amd64 1.3.4.20200120-3.1
2023-12-03 01:38:29 status unpacked mawk:amd64 1.3.4.20200120-3.1
2023-12-03 01:38:29 install libtinfo6:amd64 <none> 6.4-4
2023-12-03 01:38:29 status half-installed libtinfo6:amd64 6.4-4
2023-12-03 01:38:29 status unpacked libtinfo6:amd64 6.4-4
2023-12-03 01:38:29 install ncurses-base:all <none> 6.4-4
2023-12-03 01:38:29 status half-installed ncurses-base:all 6.4-4
2023-12-03 01:38:29 status unpacked ncurses-base:all 6.4-4
2023-12-03 01:38:29 install ncurses-bin:amd64 <none> 6.4-4
2023-12-03 01:38:29 status half-installed ncurses-bin:amd64 6.4-4
2023-12-03 01:38:29 status unpacked ncurses-bin:amd64 6.4-4
2023-12-03 01:38:29 install libhogweed6:amd64 <none> 3.8.1-2
